id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
181,Male,Urban,Bachelor,5L-10L,1,7,7720,More than 1,C,Gold,71124
182,Male,Urban,High School,5L-10L,0,6,6017,More than 1,A,Platinum,65772
183,Male,Urban,Bachelor,5L-10L,1,4,2366,1,A,Gold,47784
184,Female,Urban,Bachelor,5L-10L,1,8,5841,More than 1,A,Gold,146556
185,Female,Urban,Bachelor,2L-5L,0,7,5639,More than 1,A,Silver,32688
186,Female,Rural,High School,More than 10L,1,6,0,1,B,Platinum,34884
187,Male,Urban,High School,More than 10L,0,7,4640,1,B,Silver,68040
188,Male,Urban,Bachelor,2L-5L,1,6,4998,More than 1,B,Silver,70008
189,Female,Urban,High School,5L-10L,1,8,6100,1,A,Silver,52788
190,Male,Rural,Bachelor,5L-10L,1,3,0,1,A,Gold,31188
191,Male,Rural,High School,5L-10L,0,7,0,More than 1,B,Silver,66024
192,Female,Urban,High School,<=2L,0,5,6374,1,A,Platinum,36420
193,Female,Rural,High School,2L-5L,0,1,0,More than 1,C,Platinum,158028
194,Male,Urban,High School,5L-10L,0,5,15311,1,A,Platinum,34980
195,Female,Rural,High School,5L-10L,1,1,2386,1,C,Platinum,34656
196,Female,Urban,Bachelor,<=2L,0,1,3964,More than 1,A,Platinum,103824
197,Female,Urban,High School,5L-10L,1,5,5472,More than 1,A,Platinum,132780
198,Male,Urban,High School,5L-10L,0,4,5245,More than 1,B,Platinum,61752
199,Female,Urban,High School,5L-10L,0,6,6365,More than 1,A,Platinum,70020
200,Male,Urban,Bachelor,More than 10L,1,3,5843,1,A,Platinum,32808
